--------------------Lista de carros--------------------
Carro : ID: 70 | McLaren-Pacifica | Prioritário: Sim | Tempo Reparação: 6 | Dias na ET: 0
Carro 5: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451

ET 3:
Carro 1: ID: 77 | Kia-DBX | Prioritário: Não | Tempo Reparação: 7 | Dias na ET: 1
Carro 2: ID: 48 | Kia-Escalade | Prioritário: Não | Tempo Reparação: 7 | Dias na ET: 4
Carro 3: ID: 49 | Kia-SF90 | Prioritário: Não | Tempo Reparação: 3 | Dias na ET: 4
Carro 4: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451
Carro 5: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451
Carro 6: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451
Carro 7: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451
Carro 8: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451
Carro 9: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451
Carro 10: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451

ET 4:
Carro 1: ID: 55 | MAZDA-Titan | Prioritário: Não | Tempo Reparação: 4 | Dias na ET: 5
Carro 2: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451
Carro 3: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451

ET 5:
Carro 1: ID: 47 | McLaren-Prologue | Prioritário: Não | Tempo Reparação: 6 | Dias na ET: 6
Carro 2: ID: 53 | McLaren-Sentra | Prioritário: Não | Tempo Reparação: 3 | Dias na ET: 4
Carro 3: ID: 56 | McLaren-GLC | Prioritário: Não | Tempo Reparação: 7 | Dias na ET: 4
Carro 4: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451
Carro 5: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451
Carro 6: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451
Carro 7: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451
Carro 8: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451
Carro 9: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451
Carro 10: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451
Carro 11: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451
Carro 12: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451
Carro 13: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451
Carro 14: ID: -842 150 451 | - | Prioritário:  | Tempo Reparação: -842 150 451 | Dias na ET: -842 150 451



